snippet,price change,News Sent.
"Records from an offshore hideaway show how an American billionaire grew one of the worlds largest trusts and another owned part of a company accused of exploiting the poor David Boies, known for Bush v Gore but also aggressive battles for businesses, is drawing fire for helping Harvey Weinstein draft a contract to hire private investigators",neg,neg
"You can usually do basic editing with the free touchscreen versions of Microsofts Office apps, but you need to pay up to fully use the programs China is gleaning knowhow from foreign firms, willing or otherwise, to build the industries of the future, in an effort that worries companies and Washington",pos,neg
"Google and others, fighting for a small pool of researchers, are looking for automated ways to deal with a shortage of artificial intelligence experts Prince Alwaleeds arrest is likely to reverberate across dozens of publicly listed companies that count him as a major investor The shifting balance of power in the cellphone industry explains why a major chip maker is suddenly a takeover target Pieter Abbeel, a Berkeley professor, is part of the team that has started Embodied Intelligence to make it possible for robots to learn on their own A debut by Greg Poulos",pos,neg
"A special election in Washington State could give Democrats a free hand to enact liberal policies, including on climate, across the entire West Coast",neg,neg
Tech firms are deploying sophisticated marketing techniques to try to sell their wares into Americas schools,neg,neg
Mr Ackman is seeking to shake up the payroll processing firm in a fight that will challenge the shifting power of activists in an era of record corporate profits,neg,neg
Graduate programs in STEM have the highest percentage of international students of any broad academic field Why dont the locals bother,neg,neg
"Not long ago, social media features were a musthave for any tech company But the Russian disinformation campaign has put them in an unflattering light",pos,neg
"Thursday Dodgers come up short in Game , photos of life in s Bay Area suburbia, and the battle against outdoor smoking",pos,neg
" The enthusiasm for science education rests on the assumption that these fields are flush with opportunity Physicists, go digital  Pricey stylus tools bring useful features for creative professionals, but the less expensive models may be fine for handwriting and sketching",pos,neg
"Microsofts virtual assistant can answer to anybody who says its name, but you can train the program to take most of its orders from your voice What if its not that bad that so much economic, social and political power is held by Apple, Amazon, Google, Facebook and Microsoft",neg,neg
"Heres what you need to know to start your day As the ecommerce giant moves into physical retail and health care, traditional businesses may feel the need to take preemptive action, including seeking deals",pos,neg
"Google has a new way to safeguard your online accounts Heres how the program works, and why it may or may not be a better security choice for you Among the factors that will affect where the company chooses to put its new headquarters cost, diversity, universities  and coffee roasters Several apps can translate photographed type into text you can edit, but if you use Microsoft Word, the Office Lens app simplifies the process Some are heading to Washington to explain their role in the  election Others are facing regulatory scrutiny Consumers dont seem to care The US economy grew  percent last quarter, despite Hurricanes Harvey and Irma, but protectionist policies could put the trend at risk",neg,neg
"Media, telecom and other industries struggled to find lawmakers who would be critical of big technology companies Not anymore",neg,neg
"Why the government seems paralyzed in the face of the power and influence of companies like Apple, Google and Microsoft Two generations of Silicon Valley giants are finding that working together is better than falling behind competitors like Amazon and Microsoft",pos,neg
"European banks, tech companies and the big oil companies are all reporting their thirdquarter results And the economy is expected to have slowed As a result of the change, Microsoft said it would drop a lawsuit it filed against the government last year",pos,neg
Microsofts second major Windows  update was released last week and may already be installed on your computer,neg,neg
"A new crop of megaphilanthropists  from Soros to Gates to Koch  eclipses old guard, changes the rules and courts controversy Nearly all big tech companies have an artificial intelligence project, and they are willing to pay experts millions of dollars to help get it done",neg,neg
"Cities used to be tied to geography a river, a port, the lee side of a mountain range Amazons handling of accusations of sexual harassment involving Roy Price, who ran its movie and television operations, has set off confusion, debate and fingerpointing Investors reckon passage of the budget blueprint improves Republicans chances of getting some kind of tax overhaul through Congress",neg,neg
"When the American Express CEO steps down in February, there may be just three black men running Fortune  companies",pos,neg
Heres what you need to know to start your day The choice comes at a time of broad bipartisan concern over corporate consolidation and big deals in the waiting,neg,neg
"Do the volunteers behind Unicode, whose mission is to bring all human languages into the digital sphere, have enough bandwidth to deal with emojis too Congress, not the Supreme Court, should decide the fate of data held abroad",pos,neg
"The Supreme Court will decide whether prosecutors can force Microsoft to turn over emails held on a server in Ireland, and in another case, whether American Express violated antitrust laws In Silicon Valley, small companies used to unseat big ones Now the clutches of the five biggest tech companies are hard to escape",neg,neg
Heres what you need to know about the weeks top stories,neg,neg
"Sheryl Sandberg went on a public relations offensive with lawmakers as investigations into Russian interference in the presidential election continued Microsofts virtual assistant can round up all the news for your favorite sports teams, as long as you tell the software the ones you root for A crib sheet for the tax reform debate After years of relying on a nofrills lobbying operation, Amazon is spreading its message far and wide in the nations capital",pos,neg
A combination of evolving social attitudes and competition for talent is forcing companies in Japan to become more welcoming to gay employees,pos,neg
"Apples FaceTime software doesnt yet support more than onetoone video calls, but other compatible apps let you chat with a several people at once His vast fortune shaped Los Angeles, from its arts and medical worlds to its reinvigorated downtown When social issues are complicated, a new report finds, field catalysts are the bridge to bring together wealthy philanthropists and activists to make real progress",neg,neg
Heres what you need to know to start your day Reporting on technology has changed this year  what once felt like a world of boundless possibility now comes freighted with worry,neg,neg
"Apple, Google and other tech giants are pushing deeper into cultural industries  and stumbling in ways that suggest a certain cluelessness With proper care, your system can give you years of service, but your hardware and software might give you clues that the end is nigh",neg,neg
"The search giant is facing increased scrutiny over its role in the  presidential campaign, and is one of a number of internet companies being examined As the Trump administration seeks to repeal Obamaera clean power rules, expect coal companies to come out ahead  but not by as much as people might think In an area called Silicon Slopes, at least five startups are valued at more than  billion, a sign that Utah has become a growing force for tech incubation",neg,neg
The couple met in August  on a street corner in New York A Times examination of Russianlinked Facebook pages used in the  election found that much of the content was taken directly from videos and posts from Americans,pos,neg
"Satya Nadellas memoir, Hit Refresh, enters the hardcover nonfiction list at No  The void is as old as time, but it was a human innovation to harness it with a symbol",neg,neg
Apps used for twostep verification usually need to be reinstalled when you upgrade to a new smartphone,neg,neg
"The church is holding a congress in Rome on protecting children from online abuse, but with a new scandal involving a priest, the timing is awkward New designs are partly a backlash to wideopen floor plans and include a palette of places, meaning that people dont sit in just one spot",pos,neg
"If it has been quite a while since you bought new hardware and software, make sure you can open files in ancient formats on your new computer",neg,neg
"The rapidly growing Brasil Game Show, scheduled for next month, illustrates how important the industrys overseas markets have become Microsoft Edge can keep the web pages and ebooks youve saved up to date on your other Windows  devices",neg,neg
"If you want a mobile mail program with more textformatting capabilities than Microsofts Outlook for Android, you dont have to look far",neg,neg
"Nathan Myhrvold and Francisco Migoyas mythbusting new book, Modernist Bread, is a call for bakers to experiment and innovate",pos,neg
"IBM has shifted its center of gravity halfway around the world to India, making it a hightech example of the globalization trends that the Trump administration has railed against The SpaceX founder insists that he can ferry cargo into space and fly people anywhere in the world in less than an hour, and make money doing it If youre being nagged about reaching your online storage limit, you can add on to your room in the cloud for as little as a dollar a month",pos,pos
"Few companies commented on the protests at all, and those that did stuck to bland statements of support for American values If you dont have a smartphone around all the time for getting twostep verification codes, you can get those digits by voice or paper",neg,neg
"President Trump and Congress are turning their legislative focus to a sweeping change of the tax code A  percent corporate rate is among the proposals During an interview with The New York Times at a TimesTalks event, Microsoft CEO Satya Nadella said that women in the technology industry have a lot of distance to make up",neg,neg
"With the tech industrys increasing dominance, Jason Calacanis, a tech investor, offers a radical guide for prospering betting on more of it",neg,neg
Many of the countrys largest technology companies pledged Tuesday to help finance an initiative meant to prepare American students for careers in socalled STEM fields Investment and jobs from the repatriation of profits held abroad have been promised in the past But the incentives to executives will need to change Satya Nadella said Silicon Valley had a significant distance to cover in offering equal opportunities for female workers,pos,neg
"Microsoft Word comes with many sample document templates, but you can also create your own custom letterhead",neg,neg
"The couple met at Cornell, from which both graduated with honors Even as Mexico City begins to recover and normal rhythms return to its streets, the psychic damage lingers",neg,neg
"Apple has generated more wealth for shareholders than any other of the top  companies, which account for  percent of stock market wealth",neg,neg
"Not all coders are from the millennial generation  older people, some of them retired or semiretired, are also learning technical languages",neg,neg
"Many online services now offer three levels of picture quality for videos, but be sure to choose the best one for your device Meeting at the UN, the officials challenged Silicon Valley to keep terrorists from recruiting on the internet The companies said they were trying",neg,neg
"On the sidelines of the United Nations General Assembly, business leaders schmooze with diplomats  and one another  at private dinners and opulent events",neg,neg
Its move to hire HTC engineers is intended to improve competition with Apple and Samsung But the tech giants previous foray into handset making did not go so well,neg,neg
"Nominees and guests alike chose necklines dropping almost down to the waist, or dresses slit at the hip Microsofts mobile version of Outlook for the Android platform doesnt offer textformatting options, but it does manage your mailbox Poor nations get high marks for meeting important goals But the Gateses warn that deep aid cuts and donor fatigue still could doom millions Hubert Joly, Best Buys chief executive, has reshaped nearly every aspect of the business He explains the playbook behind the companys success In a symbolic passing of the guard, Mr Clinton will be the first speaker Wednesday at the Bloomberg Global Business Forum As reefs die off, researchers want to breed the worlds hardiest corals in labs and return them to the sea to multiply The effort raises scientific and ethical questions",pos,pos
"If you need a break from the constant stream of alerts, notifications and calls, check your devices settings for a Do Not Disturb feature Tastes are changing, and few collectors fill their homes from floor to ceiling with antiques anymore What does it mean for the grand fair New technologies are testing the limits of computer semiconductors To deal with that, researchers have gone looking for ideas from nature At the Emmys, Mr Spicer made light of his tenure as press secretary In an interview, he said he regretted his infamous briefing on the inaugural crowd size",neg,pos
"An aerospace consultant, advice columnist, blogger and bestselling author And maybe the first to write a novel on a wordprocessor",pos,neg
"The average fastball was  mph in  Now its nearly  A big fastball doesnt guarantee a pitchers success, but without it, he may be ignored A community development specialist employed by Microsoft tries to help people, especially children, while using the companys products",neg,neg
"Nick Wingfield, a New York Times technology reporter who writes about Amazon and Microsoft, discusses the tech hes using",neg,neg
"At McVays age, most current head coaches were unheralded assistants Three were playing football One was selling IBM software If Microsofts choice in typefaces doesnt align with your tastes, you can change your default font for new documents",pos,neg
"Reid Hoffman, who founded LinkedIn, is funding groups to create a bulwark against Mr Trumps agenda Whether his startup approach is effective is unclear A spreadsheet created by employees to share salary information shows pay for women is falling short of what men make at various levels",pos,neg
"Once again, the tech industry tried to get the president to change his mind Once again, they failed Plus a look at the weeks other tech news",neg,neg
"Many of those who care for older Americans are lowwage immigrants, and replacing them could prove difficult and costly for families and taxpayers The online retail giant said it is seeking a location in North America for a new complex that would cost as much as  billion to build and operate",pos,neg
"Buying a trophy asset as the city rebuilds after Hurricane Harvey makes for awkward timing And yet the investment suggests an abiding faith in a recovery A group of  Democratic attorneys general have filed suit in New York, claiming that Mr Trump had improperly upended the policy known as Deferred Action for Childhood Arrivals Members of Congress offer warm words for the Dreamers The words are meaningless unless Congress acts A mandated reexamination of a  billion fine against the chip maker is a blow to Europes tough stance against American technology giants",neg,pos
"Major stock markets havent reacted strongly to the latest belligerence from North Korea, but several top fund managers are watching with fear",neg,neg
Business leaders objected to President Trumps decision to end Obamaera protections for children who entered the country illegally,neg,neg
"Focusing on core competence and outsourcing the rest has made US companies lean, nimble and productive It has also left lots of people worse off While covering Silicon Valleys influence on schools, Natasha Singer, who comes from a long line of teachers, found that students had mixed feelings about classroom technology The earnings report comes as the company faces an increasingly competitive landscape with more children using mobile devices for entertainment",pos,neg
"As teachers launch personal brands and cast themselves as influencers, startups and tech giants alike are racing to cultivate them to spread their wares A new movie, Toilet, a Love Story, has charmed audiences at a time when the government is trying to bring plumbing to the half a billion Indians without it",neg,neg
"The devices are poised to get smarter as advances are made in scanning D objects like your face Two tech reporters analyze the weeks big tech news, including Ubers surprising new CEO and how Amazon might change Whole Foods Business leaders posted an open letter to President Trump asking him not to end a popular immigration policy, but it isnt clear whether hell listen",neg,neg
"Heres what you need to know to start your day In an unusual partnership, Amazon and Microsoft are working together to extend the abilities of their voicecontrolled digital assistants",pos,neg
Republicans are promising to stimulate investment and create jobs But steps to undo tax dodges may not produce the intended economic lift,neg,neg
"Dont expect him to become a politician, but the Apple CEO sees gaps in governmental social policies that he believes companies like his are obliged to help fill The former Goldman Sachs executives are leading the plan to overhaul taxes But their ambitions appear to be shrinking, and lawmakers are worried",neg,neg
This explosion in interest is prompting concerns that investors may not be truly aware of what they are getting into,pos,neg
"With the disruption of cable and broadcast distribution, the company is betting that a directtoconsumer model will be a new path to revenue growth For those with hearing difficulties, your mobile device likely has easeofaccess features to help with notifications and more The Japanese conglomerate continues a run of making outsize bets on an array of startup companies The sentencing of Lee Jaeyong to five years in prison for bribery and embezzlement may finally mean a true crackdown on South Koreas conglomerates Under its cofounder Travis Kalanick, Uber set out to revolutionize modern transportation Its new CEO may have a smaller, less risky vision Mr Khosrowshahi has many tasks ahead of him, including repairing Ubers internal culture and preparing the company for a selfdriving future",pos,neg
A city councilman is pushing to make public the code behind city decisions on everything from school assignments to trash collection,pos,neg
"The venture capital firm Benchmark spent years as a lowprofile backer of startups Now, its trying to challenge Uber A search team led by Paul G Allen, a founder of Microsoft, found the Navy cruiser, whose sinking is among the worst disasters in American naval history Heres what you need to know to start your day The arrival of Apple, Facebook and Google means that the hypercompetitive world of scripted TV is going to become even more ferocious There are similarities between how Islamists and white nationalists operate online, researchers said Those can be used to limit recruitments reach",neg,neg
"Heres what you need to know to start your day If you find that Microsoft Office programs have grabbed the wrong name to use for your document comments, you can correct the record Heres what you need to know to start your day Chinas Alibaba and Tencent have rocketed this year to become global investor darlings, inching up on Facebook and Amazon, as their sway in China grows",neg,neg
"The chief executive of a cybersecurity firm says that adding more employees too quickly can erode the foundations of company culture Project Magenta, a team at Google, is crossbreeding sounds from different instruments based on neural networks and building networks that can draw Microsoft is building gliders that adapt to surprises The goal is to teach autonomous vehicles of all sorts to deal with uncertainty the way humans do Microsoft is building an autonomous glider guided by artificial intelligence, part of an effort to help machines make decisions when faced with uncertainty For the first time, an actual witness has emerged in the election hacking, and he has been interviewed by the FBI",neg,neg
"With just days left in a special legislative session, supporters of transgender restrictions are pessimistic about the chances of legislation in the face of business opposition Setting up twofactor authentication for your online accounts means a little extra work but more security, and you have more than one way to do it Women cant afford to wait for the industry to police itself An IsraeliGerman artist fed up with racist, antiSemitic slurs on Twitter throws them back at the social media giant",pos,neg
"A British security researcher, credited with stopping the spread of malicious software in May, was arrested in connection with a separate attack If you have Microsoft Word fixing text just the way you like it, you can take your personal correction collection with you to a different computer Political organizing is tedious Change comes with dogged, ontheground work, not a list of demands, according to Harvard Resistance School Republicans say regulations hurt business So why are they so intent on imposing big new regulations on immigration Every decade experiences an unrealistic stock market mania, and it feels like we might be deep into one now Qualcomm is providing the money, expertise and engineering to help drive Beijings master plan to create its own technology superpowers If youd rather dictate instead of type, and talk instead of click, check out the speechrecognition tools in Microsofts operating system",pos,neg
"As the Trump administration takes on Beijing over intellectual property, global trade rules could favor China The move could help spur more companies to abandon the billable hour method of charging for legal services The company, whose stock hit a record Wednesday, is leaning on the  billion iPhones it has sold to push other products and services Heres what you need to know to start your day The threats to elections have never been more serious, and the security of election machinery has never been more important",neg,neg
Wall Street hit a new threshold as money continued to flow into stocks and exchangetraded funds But the dollars fall has been a nearmirror image,pos,neg
"What if the problem we face is not too many blackhat hackers, but too few whitehat ones The fall season traditionally brings new fashion, movies and books, and Microsoft has fresh software on the way, too",pos,neg
"The American companys local partner tells customers not to offer ways to dodge Chinas internet filters, as a new cybersecurity law takes effect If you prefer a different web browser than the one that came with your system, you can change the default settings The investigation, focused on alleged intellectual property violations, marks a shift in policy toward Beijing after President Trump had emphasized greater cooperation",neg,pos
"When the city south of Seattle was the first to pass a anhour requirement, critics said it would drive business away But business is thriving",neg,neg
"In hiring Richard Sherlund as a partner in San Francisco, the boutique investment bank wants to show traditional companies how technology is set to disrupt them",pos,neg
Welcome to the latest edition of the Smarter Living newsletter,neg,neg
"The Amazon chief executive was briefly the richest person in the world, by one reckoning, but then the company issued a disappointing earnings report",pos,neg
Republicans failure to repeal the Obamaera health care law puts a tax overhaul up front But CEOs may be worried about the fate of that as well,pos,neg
The Trump administration has proposed selling off portions of a vast system that produces nearly half of the nations hydropower electricity,neg,neg
"The company already has one of the most spectacular records in stock market history, enriching investors and making its founder a wealthy man Wall Street would probably have pummeled any other retailer that turned in the kind of performance Amazon reported Thursday profits that were less than a third of what analysts had expected Heres what you need to know to start your day",pos,neg
"A bump in the price of Amazon shares was enough to move Mr Bezos, briefly, above Mr Gates, the Microsoft cofounder Multiple antivirus applications generally do not coexist well together on the computer because they need to monitor the same areas of your system Heres what you need to know at the end of the day",neg,pos
Heres what you need to know to start your day Heres what you need to know to start your day,pos,neg
"Max Brookss new novel has an unusual feature It can also be played within a video game For years, Apple was the innovative leader in personal computers Not anymore",neg,neg
A company known for its software and its failure to make good gadgets is making advances in personal computers Consider the ingenuity of the Surface Studio bigscreen desktop,neg,neg
"One of the first applications for Windows will no longer be actively developed, the company said, pushing the program closer to being discontinued",pos,neg
"The recent struggles of Apple, LinkedIn and Facebook show why the number of tech companies willing to have a try in China is dwindling With owners, players, a president and a coach who are all women, the Storm held a rally for Planned Parenthood as they hosted the leagues AllStar Game Skeptics scoffed when Blake Irving vowed to reform the internet business built on salacious television ads But the change is looking real Kohlberg Kravis Roberts is buying a dotcom survivor to merge it with its Internet Brands portfolio company",pos,neg
"The Breakdown conversation starters and context, drawn from the days news in Australia Exhibit A for investors bullish on the companys future helped profitability last quarter more than double from a year ago If you have decided to switch from PC to Mac or vice versa, Apple, Microsoft and other software makers can make the transfer process easier than you might think",neg,neg
"Online app stores can be a safer and more convenient way to add programs to your computer and devices, but you may not find everything you want Misscliks, a channel on the video game streaming platform Twitch, aims to be a safe space for underrepresented gamers, with no tolerance for sexism or bullying",neg,neg
Readers shared their stories about facing ethical dilemmas at work,neg,neg
"After  years, Leslie Alexander is ready to sell his team that Forbes is estimating to be worth  billion  and Forbes has underestimated before",neg,neg
"John S Varley, the former chief executive, and three other former top managers will answer charges about arrangements with Qatar, and the European Central Banks president will talk policy Charles Scharf will join the bank as chief executive immediately and assume the chairmans role in January after Gerald Hassells retirement The epidemic seems to be waning in other countries, but the threat is not yet past in the United States",pos,pos
"HBO leads all the networks with  nominations and Netflix comes in second with  SNL and Westworld received  nominations each Both personal and professional users have seen their accounts suddenly go missing, but there are ways to report the errors, and precautions to take For Arcade Fire, Balenciaga and more, website designs are evoking the days of GeoCities, Windows  and flashing banner ads to be cool",neg,neg
"Donald Trump Jrs Russian email thread shows the historical value and irresistible allure of a technology that continues to betray us Flash organizations, modeled on filmmaking, find their way into fields like software and pharmaceuticals, assembling freelancers and then disbanding",pos,neg
"The law requires companies to store Chinese users information in China, and Apples move suggests other foreign technology companies may have to do the same Several wellknown security companies offer free versions of their full software suites for Windows and Mac",pos,neg
The software company on Tuesday plans to roll out a white spaces broadband service to connect rural Americans to highspeed internet A veteran political reporter takes stock of how Washington has  and hasnt  changed in the time of Trump,neg,neg
"Smart Catch, created by a founder of Microsoft and backed by the James Beard Foundation, helps restaurants serve more sustainable fish Microsoft plans to use unused channels between television broadcasts for broadband service, which could help rural Americans connect to the internet As the rise of AI creates demand for new computing hardware, the giant chip maker is using acquisitions and new products to try to stay ahead",pos,neg
No one looks beyond the shortterm effects of the many hormone injections needed to stimulate the release of multiple eggs at one time Two cases  one involving cell site location and the other emails  may determine how digital information fits under Fourth Amendment protections,neg,neg
States can take steps to make voting systems more secure from hackers,pos,neg
Among the companies targeted was a firm that operates a nuclear power plant in Kansas It is not clear who was responsible An attack that started in Ukraine and spread throughout the world is still causing headaches for a number of big companies,neg,neg
News of the cuts comes a week after the company described sweeping changes that will shift resources to selling cloudcomputing services,pos,neg
"Two separate takeover bids for Britains Worldpay, including one by JPMorgan Chase, signal the latest battle to control how consumers pay for goods",neg,neg
"After issuing a record  billion fine in an antitrust case, the blocs competition commission is preparing to aggressively police other technology giants Microsoft recently issued an emergency patch for the operating system it retired in , but the company has no plans to restore full support The National Security Agency is so shrouded in mystery that its not even clear whether it knows how its weapons were stolen",neg,neg
"Programs promoting a skillsbased labor market are gaining momentum and changing the way people are hired and trained for tech and other jobs A new startup incubator in Paris symbolizes Frances tech ambitions, but can the land of the hour workweek overcome its cultural and regulatory barriers to surpass London and other tech hubs Hackers in two global attacks have used cyberweapons stolen from a dangerous collection that had been amassed by the agency A former bureau chief reflects on The Timess transformation in the Asian hub Once courted, then spurned, the smaller rival sought revenge for years Now Europes regulators give it reason to cheer",pos,neg
"Windows  includes builtin protections for blocking several types of online threats to your computer The latest strike, which affected computers from Ukraine to the United States, has intensified worries that such events will become everyday dangers",neg,neg
Heres what you need to know at the end of the day,pos,neg
Pinpointing the initial targets of the assault  Ukrainian accountants who use a tax preparation software required by the government  was a major clue,neg,neg
"Codeorg, a techbacked nonprofit, is pressing schools to teach computer science But are tech firms swaying education to serve their own interests This ransomware attack, a more sophisticated assault based on a vulnerability exploited in May, hit companies across the globe",neg,neg
"Researchers said the attack had originated in Ukraine, but then spread to at least  countries",neg,neg
Its not robot overlords Its economic inequality and a new global order,pos,neg
