date,snippet
2015-12-13,"For todays designers, any object, symbol or pool of information is just another problem awaiting a new solution Is that a good thing"
2015-12-14,"When a team of young idealists tried to make a website for Californias foodstamp system, they learned just how complicated it can be to redesign the public sector Heres what you need to know to start your day"
2015-12-15,Ms Renos eight years in the office placed her in the middle of some of the most divisive episodes of the Clinton presidency She broke ground in a maledominated field in corporate roles and as a founding board member and chairwoman of the nonprofit New York New Media Association
2015-12-16,"Monday A scorecard on the ballot propositions using newspaper endorsements, a gentrification battle in Los Angeles, and a look back at Magic Johnsons HIV announcement For some, there was a realization that the tech industrys relationship with government  and the public  is likely to shift in a fundamental way If Windows  annoys you and you dont want to switch to a Mac, consider Linux or even a Chromebook instead"
2015-12-18,Heres a roundup of our endorsements for key races on New York and New Jersey ballots
2015-12-19,"After more than a decade away, a foreign correspondent comes back to take stock of his divided homeland Fear that Oracle would back away led NetSuite shareholders to accept a  billion offer over the objections of a major investor, T Rowe Price Prosecutors are investigating whether Hans Dieter Ptsch, the former top finance official at Volkswagen, failed to warn shareholders about the scandal Ahead of meetings on global warming, executives recognize the need to show they are acting to pare energy use and emissions"
2015-12-21,"Heres what you need to know to start your day Once so close they flirted with a merger, the software giants became archrivals when they realized the value of the data amassed by social networks"
2015-12-22,Adding color or a shade of gray to every other row in your spreadsheet can help your eyes focus better on the information
2015-12-23,"The president of Carnegie Mellon University, which will establish the center, said injecting ethical discussions into AI is necessary as the technology advances The worlds governments have committed to slashing greenhouse emissions, but it is not clear the necessary technology exists yet Consensus emerges among politicians, including both presidential candidates, that companies foreign profits should be brought back to America But how"
2015-12-24,China sought to make an example of GlaxoSmithKline in a case that involved bribery of doctors and investigators and ended with guilty pleas and record penalties
2015-12-25,"The tech giant introduced Microsoft Teams, an addition to its Office  suite, which resembles Slack but adds features like threaded conversations and videoconferencing"
2015-12-26,Wells Fargo has been hit with a  million payment to settle a classaction lawsuit for the overcharging of home appraisals Heres what you need to know to start your day
2015-12-27,ATT has long rewarded shareholders with one of the most sumptuous dividends on Wall Street But the debt its taking on for its Time Warner deal could put that at risk
2015-12-28,"The company has become an indispensable news source for millions but as a business, it needs a white knight to swoop in"
2015-12-29,"If you have an idea for a mobile app, or you just want to become more familiar with how software works, you can get a free education online There are a number of congressional and state races where voters can make a difference"
2015-12-30,"Representative Scott Garrett, a Republican, is facing a wellfinanced Democratic opponent, Josh Gottheimer, to serve the states Fifth Congressional District"
2015-12-31,Heres what you need to know to start your day Farhad is going as sexy Donald Trump and Mike as Guy Fieri Amazon gets them reminiscing about Matthew McConaughey in a s stoner movie
2016-01-01,"Shares of mining companies and other suppliers of basic materials, which rely heavily on exports to China, fell along with tech stocks"
2016-01-02,"Recently introduced game consoles are breaking the usual newproduct cycle, while interest grows in virtual reality titles"
2016-01-03,These bots are generally powered by artificial intelligence software that allows them to pull in data and turn it into comprehensible answers The new laptops feature a Touch Bar where function keys used to be It works differently depending on the app in use
2016-01-04,"Bypassing Taser International, the industry leader, the Police Department selected Vievu, LLC, despite questions about its performance in other cities"
2016-01-05,The Surface Studio represents Microsofts growing presence in the hardware side of the industry that it once left entirely to its partners
2016-01-06,"Microsoft pushed out a big update to its operating system this summer, and you can confirm whether your PC has it through a few quick steps The Patriots reticent coach goes on and on about how unhappy he is with the Microsoft Surface tablet"
2016-01-07,"The company tries to forge ahead despite a constantly shifting chess match of deal discussions and considerations Shares of BE Aerospace soared after the company agreed to be acquired by Rockwell Collins The president, who has advocated cuttingedge research and built relationships with Silicon Valley companies, may be preparing for a role in the technology sector Recognition searches , news photographs a day and matches them with artworks in Tate Britains database The results are surprising A museums Fire Fire exhibit asks the question by recreating the blaze with the game Minecraft"
2016-01-10,General Electric stock dropped after a quarterly report that was lower than expected because of weaker results from lighting and transportation businesses
2016-01-11,"In Silicon Valley, momentum means everything, the Deal Professor writes Twitter appears to have little, while Snap, formerly Snapchat, has plenty, but faces risks of its own Mr Bunnell rode the early wave of personal computers, establishing PC Magazine, Macworld and other magazines and contributing to the industrys explosive growth Investors liked what they saw in the software giants earnings Wait until they see how many valuebuilding charges the company can add to computing"
2016-01-12,"Choosing a voice, which is often young and female, in conversational computing has implications for design, branding or interacting with machines The Nintendo Switch can connect to a television or go mobile, an unproven strategy and one that differs from rivals gearing up for virtual reality The game giants shares plummeted after it unveiled the allinone hardware, which can be played at home or on the go"
2016-01-13,"In Silicon Valley, executives are having to explain why they continue to do business with the billionaire investor Peter Thiel, who donated  million to Mr Trumps campaign Big deals are usually postponed during times of political and economic uncertainty, but many corporate titans apparently see smooth sailing ahead"
2016-01-14,"Tech companies are spending more on lobbying and hiring highprofile government officials, and the revolving door goes both ways"
2016-01-15,"Microsoft said its gross profit margin from its commercial cloud business was  percent  lower than its traditional software business, but still attractive"
2016-01-17,"There are many ways, besides the wellknown sampling error, to get things wrong in polling The Pixel, which uses Android software and Assistant, an AI virtual assistant, is, relatively speaking, mediocre, but fans of Android wont regret buying one"
2016-01-18,"Googles phone disappoints, but its likely to be around for a long time Thats because its part of a complex of technology that characterizes the new competition Heres what you need to know to start your day"
2016-01-19,"At annual presentations in San Francisco, tech companies deluge potential customers with data on their progress in cloud computing, machine learning and artificial intelligence"
2016-01-20,"Robert Iger, chief of the mass media company, has a history of reinvigorating the company by making deals, but despite a string of good decisions, shares are dipping and investors are getting antsy A former Romanian minister, a former mayor and two businessmen were handed prison sentences on Monday and will have millions of euros taken from them in punishment for moneylaundering, influencepeddling and taking bribes Big, Small, American, Chinese Different stocks produced outstanding results for investors and the funds that hold them The Yahoo report is of particular interest to investors, as the company is expected to stay quiet concerning the recent hacking and spying scandals that may imperil its pending sale to Verizon"
2016-01-21,"Special Agent Jack Bennett was at the FBIs computer investigation lab in Quantico, Virginia, on a Sunday in March when an outside company showed the bureau how it could hack into an iPhone used by one of the San Bernardino shooters The years of investment in its artificial intelligence effort, IBM executives say, are increasingly turning into moneymaking opportunities in sizable markets like health care and manufacturing"
2016-01-22,"Tech companies like Sprint, Comcast and Facebook are increasingly working to make highspeed internet available to every American"
2016-01-23,Companies like Amazon and Microsoft are building data centers across the Continent in response to Europeans desires to keep their information close to home There are many ways to transfer pictures from a Googlebased phone to an Apple computer
2016-01-25,"Yahoo scanned hundreds of millions of incoming emails at the behest of US intelligence or law enforcement, according to a report published Tuesday Yahoos reported willingness to search user email to assist US government investigators has revived concerns about courtapproved surveillance programs that companies arent allowed to disclose to the people using their services The justices tell other judges to act in ways they themselves dont When you decide its time to close your account and move on to another mail service, make sure you get all the files you need before you go"
2016-01-26,"Salesforce is still in talks to buy Twitter, according to two people involved in the discussions, despite some of Salesforces largest shareholders indicating that they are against the deal"
2016-01-27,"Amancio Ortega, Europes richest man and founder of global fashion group and Zara owner Inditex, has bought one of Madrids most famous skyscrapers for  million euros  million through his property investment arm, a source said Suitors are falling away, and there is no way conventional financial analysis can help any company rationalize an acquisition of the company Drake earned a recordbreaking  American Music Awards nominations on Monday thanks to his latest album, Views, shattering Michaels Jacksons mark of  nominations in a single year from  when the King of Pop had Thriller"
2016-01-28,"Salesforce, a San Francisco tech company, is said to have questioned whether Microsofts takeover of LinkedIn might hinder consumer choice and access to data The tech world has been buzzing since it heard that the online software company Salesforce was interested in bidding for Twitter Microsoft Corp and Brazilian lender Banco Votorantim are investing together in financial technology startups, executives said in a Monday interview, as the US tech company adds a new specialty to its venture capital portfolio in Brazil The US is looking for multibillion dollar penalties from Germanys biggest bank and its biggest carmaker The European Union is demanding similarly large sums from Americas most valuable tech company, Apple Samsungs global recall of  million Note  smartphones and the decision to cease production ranks among the largest product failures in recent memory The explosionprone phone joins a long list of fiery, exploding or unstable consumer products"
2016-01-29,A Syrian national pleaded guilty Wednesday to federal charges for his role in a scheme that hacked computers and targeted perceived enemies of Syrian President Bashar alAssad A US judge has ordered a former luxury real estate mogul to pay  million to the creditors of a Montana club for the ultrarich that he is accused of fleecing for personal gain before driving it into bankruptcy
2016-01-30,"Apple is extending its push into selling business technology by forging a partnership with the Deloitte consulting firm to advise companies on using iPhones, iPads and Apple software in the workplace Open Whisper Systems received a subpoena for information on its Signal app subscribers and an order not to talk about it, a practice Microsoft and others say is too prevalent, and unconstitutional A Yahoo operation in  to scan the incoming email of its customers for specific information requested by the US government was authorized under a foreign intelligence law, parts of which will expire next year, two US government officials fa As Yahoos embattled email service suffers through a slew of bad news, including a hack that compromised more than  million accounts , some users are finding it hard to leave"
2016-01-31,"Alphabet Incs Google said on Thursday it renamed its businesstobusiness cloud computing brand and enhanced some enterprise applications using artificial intelligence, the companys latest gambit to better compete with Amazoncom and Microsoft C A system built to scan emails for spam, child pornography and malware allowed Yahoo to search for a terrorist organizations signature to satisfy a secret court order, several sources say India will face pressure to speed up its plans for cutting greenhouse gases used in refrigerators, air conditioning and aerosols when governments meet this week to hammer out what would be a third key deal to limit climate change in a month"
2016-02-01,"US stocks rebounded Tuesday and climbed after a survey showed consumer confidence is at a nineyear high, a sign Americans will keep spending in the months to come Technology and consumer stocks made the largest gains Samsung Electronics is joining the race to create the smartest digital assistant by acquiring Viv, a Silicon Valley startup launched by the same entrepreneurs who sold Siri to Apple You dont know what goes on there, but you do know you have a pretty good shot"
2016-02-02,"A possible takeover shows that just what Twitter is still is very much in the eye of the beholder To make acquisitions, Salesforce relies on stock and therefore needs to keep its shareholders happy And they are not interested in a Twitter deal"
2016-02-03,"Microsoft Corp said on Thursday it created a new artificial intelligence unit, as the company pushes deeper into the fastgrowing field Tech giant Samsung Electronics Co Ltd said on Thursday it will carefully review proposals made by US hedge fund Elliott Management for restructuring and a special dividend, pushing the firms shares to a record high     They also dont want anyone to talk about it, a fact that has riled a number of tech companies that are chafing under gag orders Thanksgiving in Canada has never reached the status it enjoys in the United States, but Canadians are still passionate about the holiday They may both be technology companies, but their businesses are vastly different And history tells us combining very different tech outfits is risky The move is a major setback for the worlds largest producer of smartphones, which had been gaining ground against Apple in the highend market"
2016-02-04,"Microsoft and Bank of America Merrill Lynch have joined forces on a project to use blockchain technology to make trade finance transactions faster, cheaper, safer and more transparent, the companies said on Tuesday  A computer hacker sympathetic to Syrian President Bashar alAssads government pleaded guilty for his role as a middleman in an extortion scheme targeting US media outlets and governments, the US Department of Justice said on Wednesday Yahoo Inc last year secretly built a custom software program to search all of its customers incoming emails for specific information provided by US intelligence officials, according to people familiar with the matter Google is taking a page from Apples playbook by making a bigger push to build its own hardware"
2016-02-05,"These fellowships, awarded annually for exceptional originality, insight and potential, come with a nostringsattached award of ,, distributed over five years The Latest on Googles product event all times local"
2016-02-06,"LinkedIn wants to become more useful to workers by adding personalized news feeds, helpful messaging bots and recommendations for online training courses, as the professional networking service strives to be more than just a tool for jobhunting"
2016-02-07,"Apple Inc, Alphabet Incs Google and CocaCola Co topped the list of the worlds  most valuable brands in , while technology and automotive brands dominated the overall rankings, according to a new report from brand consultancy Interbrand Tech giant Samsung Electronics Co Ltd said on Thursday it is acquiring US artificial intelligence AI platform developer Viv Labs Inc, a firm run by a cocreator of Apple Incs Siri voice assistant program"
2016-02-08,"American tech giants stand to benefit from Canadas smoother immigration process, and Vancouver is looking to feed its own homegrown tech ambitions"
2016-02-10,"European regulators look at Microsofts purchase of LinkedIn not for what it is, but for what may be They are right to"
2016-02-11,"Avast Software, maker of the worlds most popular computer antivirus program, will need a year to absorb its  billion buy of rival AVG but may seek further acquisitions before an expected flotation, its chief executive said in an interview"
2016-02-12,"Canadian Prime Minister Justin Trudeau said Saturday that a record  billion has been raised for The Global Fund to Fight AIDS, Tuberculosis and Malaria over the next three years Deutsche Bank shares continue to fall, and are pulling down financial stocks and the rest of the market with them"
2016-02-13,US software company Salesforce called on EU regulators on Thursday to investigate antitrust issues related to Microsofts  billion bid for social network LinkedIn Shares of Cognizant Technology Solutions tumbled after the company said it was investigating possible bribes paid to officials in India
2016-02-14,"The company will combine its vaunted research group with the unit focused on products that use artificial intelligence, like Bing and Cortana"
2016-02-16,"Consumer and technology stocks, including Amazon, led gains on Wall Street on Tuesday, while a perceived win by Democrat Hillary Clinton in Mondays first presidential debate gave broader support to equities A select guide to cultural events for children, teenagers and families"
2016-02-17,"Twitter Inc made a smooth debut with its broadcast of a National Football League game on Thursday, attracting generally positive tweets throughout the matchup between the Buffalo Bills and the New York Jets US stocks climbed Friday as banks made a rapid recovery following a steep fall a day ago Investors hoped Deutsche Bank and the financial system in general were in better shape than they had feared"
2016-02-18,"Microsoft ended its free upgrade offer for the operating system in July, but there are other ways to get the software Apples operating system provides an easy menu shortcut for sharing links, photos and other content, and you can customize your list of options The Partnership on AI unites Amazon, Facebook, Google, IBM and Microsoft to ease public fears of machines that are learning to think for themselves"
2016-02-19,"China will cut import tariffs for over  information technology products for the World Trade Organizations WTO most favoured nations from September , the Ministry of Finance said on Wednesday Having the right software to connect to your devices is necessary for a functioning computer, but your operating system can often take care of itself"
2016-02-20,"Walt Disney Co and Microsoft Corp joined a list of potential suitors for Twitter Inc, according to media reports on Monday Banks and other financial institutions are adopting blockchain technology dramatically faster than initially expected, with  percent of top global banks intending to roll out fullscale, commercial blockchain products in , IBM said on Wedn"
2016-02-22,"Microsoft Corp on Tuesday raised its quarterly dividend by  percent and said it would buy back up to  billion as part of a new share repurchase program When the AntiDefamation League hired Brittan Heller to work with tech companies against harassment, she was deluged with online attacks Renault SAs carmaking alliance with Nissan Motor Co is partnering with Microsoft Corp to develop cloudbased services for cars, a step toward the groups plans to build selfdriving automobiles by  The latest on developments in global financial markets all times local"
2016-02-23,"Twitter Inc launched a new video streaming application for Apple Inc and Amazoncom Inc TV platforms, as well as Microsoft Corps Xbox One gaming console as it brings its video content to the forefront Stocks that moved substantially or traded heavily on Wednesday The California Supreme Court agreed Wednesday to consider a lawsuit that Yelpcom warns could lead to the removal of negative reviews on the popular website"
2016-02-24,"Did robots help make your pizza California, a state with just  percent of the nations population, accounts for a fifth of all public companies on the major United States markets The social network site has been considering a possible restructuring as it wrestles with a slowdown in its growth Some websites may seem less important to protect than others, but even the most mundane accounts may reveal information about you Thailand is studying plans to toughen tax collection rules for internet and technology firms like Alphabet Incs Google, the head of the Revenue Department told Reuters, as the tax affairs of these firms comes under growing scrutiny in Southeast A"
2016-02-25,"Members of an international environmental group were considering a proposal Friday to urge leaders in every country to close domestic ivory markets that threaten elephants Musician Trombone Shorty, known for his work to preserve the musical heritage of New Orleans, is one of five people being honored Wednesday with , prizes from the Heinz Family Foundation TV or football Some Emmy guests Sunday faced a tough choice as the returnedtoLA Rams played their home opener just down the street from the Microsoft Theater, where the Emmy Awards are being presented The error the polling world rarely talks about in public Microsofts ClearType technology has been making type easier to read for years, and you can adjust it to your liking Neel Kashkari, president of the Minneapolis Federal Reserve Bank, said Friday that he was more worried about raising rates too quickly than too slowly, largely because the central bank is better equipped to fight high inflation than low inflation Top internet companies  but not Amazon or PayPal  are cooperating to solve a persistent problem How to provide oneclick shopping across all kinds of sites"
2016-02-26,"Given what the cameras add, Hollywood stars start out some  pounds behind the game Little wonder so many actors are serious weight watchers The  winners of this years fellowships, awarded for originality, insight and potential, include writers, visual artists, scientists and lawyers"
2016-02-27,"LinkedIn Corp, the operator of the worlds largest online business networking service, has launched in India a Lite version of its website for mobile browsing  Uber, along with other tech companies, are finding pliant governments as they build the future This weeks Tokyo Game Show is one of the worlds biggest draws for gamers and developers, but the talk amid the virtual reality headsets and robot arms is of the industry giant that never turns up Nintendo Co Ltd As GE, Oracle, Salesforcecom and others push their AI products, it remains unclear whether potential customers understand how they will profit Not to be outdone by Ellen DeGeneres, who ordered pizza for the Academy Awards audience when she hosted in , Jimmy Kimmel provided food for Emmy Awards crowd Sunday"
2016-02-28,"As company after company explains its connection to internet video, officials want Europe to be viewed as one giant audience Microsoft Corp says its board has approved a dividend increase and a new  billion stock buyback plan"
2016-02-29,The latest on Sundays th annual Primetime Emmy Awards at the Microsoft Theater in Los Angeles All times local
2016-03-01,"From Kerry Washingtons daring, elegant baby bump to Anna Chlumskys barrelshaped, um, dress, the Emmys red carpet was a mixed bag of color and silhouette"
2016-03-02,"Rachel Bloom started the year with a Golden Globe win for her starring role in the CW sitcom Crazy ExGirlfriend A week later, she added a Critics Choice Award to her mantle The th Emmy Awards honor some of the years best television and its stars And Bruce Springsteen discusses his new autobiography on CBS Sunday Morning Kerry Washington, always a red carpet favorite, won the Emmys red carpet Sunday, showing off her huge baby bump in a black custom Brandon Maxwell strapless gown with daring cutouts, her hair long, loose and curly"
2016-03-03,"The European Union is set to extend some security rules currently only applicable to telecom operators to web services such as WhatsApp, Skype and Apple Incs FaceTime, according to a draft proposal seen by Reuters A global fund has raised over  billion from international donors as part of a campaign aimed at effectively eradicating AIDS, malaria and tuberculosis by , conference organizers said on Saturday  Yelpcom is warning that a California lawsuit targeting critical posts about a law firm could lead to the removal of negative reviews and leave consumers with a skewed assessment of restaurants and other businesses A look at Emmy coverage you might have missed ahead of Sunday nights awards ceremony"
2016-03-04,"As Michael Dell closes  billion merger, Meg Whitman sells off Hewlett Packard Enterprises software for  billion"
2016-03-05,Starbucks Corp on Friday amended the companys bylaws to allow longtime shareholders to nominate board members An interview with David Rothschild on prediction markets and how they point to the primacy of one race the tippingpoint state
2016-03-06,Oracle Corp forecast lowerthanexpected quarterly profit as growth in its cloudbased business fails to make up for weakness in its traditional software offerings
2016-03-07,"Reid Hoffman, a cofounder of LinkedIn, pledged to match a crowdfunding campaign started by a former Marine who served in Afghanistan Twitter Inc made a smooth debut with its broadcast of a National Football League game on Thursday, attracting generally positive tweets throughout the matchup between the Buffalo Bills and the New York Jets Apple stock made its fourth strong gain in a row as investors became more optimistic about early sales of its newest iPhone models"
2016-03-08,"The head of Nokias small, but highly profitable patent licensing division is leaving after two years in the role, the Finnish company said on Wednesday, weeks after he sealed a pacesetting patent deal with Samsung Electronics  Technology, media, pharmaceutical and other companies, along with major corporate lobbying groups, filed legal briefs on Friday in support of a Microsoft Corp lawsuit that aims to strike down a law preventing companies from telling customers the g Sony is unveiling a slimmer, lighter, cheaper version of its PlayStation , as well as a Pro device targeted at hardcore gamers that features highresolution images and a terabyte hard drive"
2016-03-09,"The rules will put new pressure on American tech companies, but European officials say they will unite the Continents various national economies"
2016-03-10,You can use the export command in Microsoft Outlook to start transferring your contacts to a different mail program
2016-03-11,"An exhibition with more than  works of Russian and Soviet art, donated by one of Russias richest oligarchs, opened Tuesday at the Pompidou Center in Paris"
2016-03-12,"Rackspace has become a partner with Amazon and Azure selling services and helping companies transport data and software to them The educational program is aimed at middle school students, but critics say the fact it requires a tablet makes it unavailable to lowerincome families Apples stock hit a  high on Wednesday, with its market value peaking above  billion  billion pounds for the first time since April as Wall Street bet the technology companys newest iPhone would help shore up falling sales"
2016-03-13,Jimmy Kimmel isnt planning to use his superpowers at the Emmys
2016-03-14,"The corporation and the United States have only themselves to blame for a record tax penalty in Europe Seagate Technology Plc has invited ValueAct Capital in as an investor, selling a roughly  percent stake to the activist hedge fund, which will also get a frontrow view of its board meetings, the harddrive maker said on Friday"
2016-03-15,"Informatica, a privately held software developer, said it expects its valuation to double to at least  billion in the next five years, driven by investments in big data and cloud computing Robots that can recognize emotions are in development, and they could someday move into roles reserved for humans But its an opportunity, not a threat"
2016-03-16,"Advertising technology startup Medianet, founded by tech entrepreneur Divyank Turakhia, said on Monday it had been acquired for about  million by a group of Chinese investors We hear it all summer The preseason is a waste Lets get on to the real thing Colleges do it, why cant the pros Online storage services like Dropbox and iCloud use encryption to help keep your data secure, but you should be vigilant about password management"
2016-03-17,US tech giants Google and Facebook are among multinationals spending more in Brussels as the European Commission eyes new business regulation after last week handing Apple a billioneuro tax demand
2016-03-18,"Alphabet Incs Google said on Thursday it is acquiring cloud software company Apigee Corp in a deal valued at about  million, the tech giants latest effort to claim a greater share of the lucrative cloud business"
2016-03-20,The Latest on Apples San Francisco product event all times local
2016-03-22,"At Apples iPhone  unveiling in San Francisco on Wednesday, the tech powerhouse revealed a host of new and updated hardware and software, including a new type of headphone jack and soupedup camera Heres a rundown of the biggest announcements Verizons acquisitions of Yahoo and AOL raise legitimate questions about the judgment of Verizons management Readers say a tax avoidance scheme used by many large corporations is unfair to small businesses and average taxpayers Find the right job  and salary"
2016-03-23,"After a bitter battle with a rival intent on taking over the company he founded, Peter McCausland grew tired of fighting big shareholders US tech giants Google and Facebook are among multinationals spending more in Brussels as the European Commission eyes new business regulation after last week handing Apple a billioneuro tax demand Microsoft Corp is introducing a complete set of cloud services from data centers in Britain, its second biggest market for cloudbased software after the United States, as demand for data localization spreads across Europe and around the world As the company updates its most popular product, Apple removed a familiar feature the headphone jack"
2016-03-24,"The decline is accelerating Largely because of poaching, the African elephant population is dropping  percent a year The European Commission denies that its shock demand that Apple Inc hand  billion euros in back taxes to Ireland is, in the pungent phrase of Apple CEO Tim Cook, total political crap"
2016-03-25,"Why do people want the Olympics in their home city It could all be a poisoned chalice, and some people are floating unconventional solutions for future host cities Limiting pitching changes, restricting defensive shifts, altering the strike zone and installing pitch clocks are among the ideas Major League Baseball may consider as it undertakes a multiyear review of the game that could include the sports mos The promise of big data and big paychecks is drawing some of academias top economists to study consumer behavior for tech companies like Airbnb, Amazon and Uber Telegram, favored by the Islamic State because of its formidable privacy controls, is a source of consternation for antiterrorism investigators Taking inspiration from the pace of innovation in smartphones, which rival consoles for gamers attention, Sony announced a new model that takes advantage of K technology"
2016-03-26,"A week after Chinas two largest taxihailing firms announced plans for a  billion  billion pounds merger, lawyers say Chinas merger control watchdog is cracking down on companies that dont seek approval for deals, and it wants greater po Nokia has cut the price of its OZO virtual reality camera by  percent from its initial launch price, the Finnish company said on Thursday"
2016-03-28,"They are regarded as research centers independent of moneyed interest, but think tanks have to chase funds, too The search giants mobile operating system was found to have unfairly favored digital services like Google Maps over those of Russian rivals The number of savanna elephants in Africa is rapidly declining and the animals are in danger of being wiped out as international and domestic ivory trades drive poaching across the continent, according to a study released Wednesday Tech companies, civil liberties groups and media organizations are planning to back Microsofts resistance to government attempts to snoop on customers The European Commission denies that its shock demand that Apple Inc hand  billion euros in back taxes to Ireland is, in the pungent phrase of Apple CEO Tim Cook, total political crap"
2016-03-29,"Alphabet Incs Google is close to winning PayPal Holdings Inc as a client for its cloud business, potentially beating out Amazoncom Inc and Microsoft Corp, CNBC reported on Tuesday Four people involved in the creation of an industry partnership say its intent will be clear to ensure that AI research is focused on things that will benefit people, not hurt them"
2016-03-30,"Mr Ellenby founded Grid Systems, where the Compass was produced It went on to become a tool for big corporations, government spies, White House officials and astronauts The international community came together Thursday in Hawaii for  days of talks by leading academics, conservation groups and government officials to address the impacts of global warming, wildlife trafficking and environmental conservation Sony Interactive Entertainment, a division of Sony Corp, unveiled on Wednesday two new versions of its PlayStation  Console in an effort to help Sony maintain its sales lead over Microsoft Corp and Nintendo Co Ltd"
2016-03-31,"Apple Inc said it plans to offer rewards of up to , , to researchers who find critical security bugs in its products, joining dozens of firms that already offer payments for help uncovering flaws in their products As a wholesaler, the company can cut power costs and carbon dioxide emissions It will get much of its supply from a solar energy farm now being built Troncs resistance to a takeover bid from Gannett is either a brilliant negotiating strategy or a confounding plan to maintain independence Mr Cooks assertion was technically truthful, but he avoided the focus of the case  whether Apple took advantage of loopholes in Irish tax law"
2016-04-02,"As big companies race to build oversize data networks, communities are finding that the giant buildings can operate with only about  people"
2016-04-03,"Digital maps company HERE, controlled by German carmakers BMW, Daimler and Volkswagen, aims to find a new investor by the end of the year, HERE chief Edzard Overbeek told a German newspaper"
2016-04-04,"The industrial giant is investing big in an effort to adopt the nimble habits and digital wizardry of Silicon Valley And, its CEO says, there is no Plan B"
2016-04-05,"Amazon reported net income of  million, the second quarter in a row it has shown a record profit even as it invests heavily in its own growth Apples spreadsheet program can edit Microsoft Excel files, but you need to take an extra step to use those files in Excel again More than  major technology and communication companies said on Friday they are joining the US government to crack down on robocalls, automated, prerecorded phone calls that regulators have labeled a scourge  Ebook readers and tablets can handle several types of files, but some may work better for certain kinds of books The cellphone game, popular with children and adults, has been added to a list of restrictions that New York State parolees must sign before being released"
2016-04-08,"Cisco Systems plans to lay off , workers mirror recent cutbacks at other major technology companies that have been trimming their payrolls as they try to adapt to shifting market conditions undercutting their businesses"
2016-04-09,"The companys  billion sale to Verizon caps two decades of deals and nondeals that shaped internet history Cisco Systems Incs announcement on Wednesday that it plans to lay off , employees is unlikely to be the last round of Silicon Valley pink slips as hardware companies struggle to keep up with rapid technology shifts, analysts and recruiters sa"
2016-04-11,"Analysts say the global cloudcomputing business will be worth  billion by  Amazon and Microsoft are the current leaders in the industry The firm said the move was a response to greater government scrutiny of mergers and acquisitions that might inhibit competition Paleontologists with Seattles Burke Museum have unearthed the bones of a Tyrannosaurus rex that lived more than  million years ago, including a rare nearly complete foot long skull"
2016-04-12,"A speech by the billionaire cofounder of PayPal at the Republican convention could spoil a delicate but growing relationship between tech and the GOP Now, all you need is a phone number to start a video call with any contact who uses an Android or iOSbased smartphone"
2016-04-13,"From computers to coffee makers, choosing the right devices for students can be tough Heres a guide to make backtoschool shopping a little easier Regulators are stuck in an outdated view of the world, while the internet giants are more attuned to the threat of nascent competitors In a story Aug  about Cisco Systems laying off , workers, The Associated Press reported erroneously that Apple went bankrupt in the s The story should have said Apple nearly went bankrupt during that time period"
